"Name","Description","Location","Coordinates","Version","DNSSEC validation","No logs","Resolver address","Provider name","Provider public key","Provider public key TXT record"
"dnscrypt.pl","Free | No filtering | Zero logs | DNSSEC | Poland | https://dnscrypt.pl/ | @dnscryptpl","Poland","+52.6222, +16.4539","1","yes","yes","178.216.201.128:2053","2.dnscrypt-cert.dnscrypt.pl","7F61:7CB8:1EA5:53D2:34C4:9BC2:79C7:4F7B:5498:050D:1DBF:111A:FEE6:9963:C647:A169",""
"moulticast-sg-ipv4","Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Singapore | Operated by @herver (Github) | https://moulticast.net/dnscrypt/","Singapore","+1.2812, +103.8478","1","yes","yes","51.79.158.183:443","2.dnscrypt-cert.moulticast-sg","2F87:DEDB:2411:2349:6308:C7B4:E738:5299:E286:633F:A2CC:A563:C84D:38D0:EBEA:FA05",""
"faelix-uk-ipv4","An open (non-logging, non-filtering, no ECS) DNSCrypt resolver operated by https://faelix.net/ with IPv4 nodes anycast within AS41495 in the UK.","United Kingdom","+51.4964, -0.1224","1","yes","yes","46.227.200.54:8443","2.dnscrypt-cert.rdns.faelix.net","7ECB:EF3E:2F01:8032:8D60:E0E1:D1EC:23E4:E877:D8EA:09A1:9370:1A04:D6B3:C0BE:8BE1",""
"dnscrypt.ca-2","Free, Canadian, uncensored, no-logs, encrypted, and DNSSEC validated DNS service for your pleasure.","Canada","+43.6319, -79.3716","1","yes","yes","149.56.228.45:443","2.dnscrypt-cert.dnscrypt.ca-2","0108:54AB:3B56:A7EE:F9D3:9158:FEF6:820B:FF93:A235:7C89:1608:DB9E:15D3:BBE0:1185",""
"plan9-dns","Resolver in New Jersey, USA. DNSCrypt protocol. Non-logging, non-filtering, DNSSEC, anonymized. Running the official Docker image on Vultr by @jlongua1","United States","+40.5511, -74.4606","1","yes","yes","173.199.126.35:443","2.dnscrypt-cert.plan9-dns","92F0:1F7C:FCF8:6E93:0F21:24EB:25CC:986C:6EB2:CEE7:19F1:6790:7AED:9B85:4E49:CF52",""
"meganerd","DNSCrypt server by MegaNerd.nl (IPv4) - https://meganerd.nl/encrypted-dns-server Hosted in Amsterdam (AMS1), The Netherlands. Non-logging, non-filtering, supports DNSSEC.","Netherlands","+52.3891, +4.6563","1","yes","yes","136.244.97.114:443","2.dnscrypt-cert.meganerd","FCAA:DC70:4E5E:E360:BBA1:4EE2:953B:D528:BA09:357A:90F0:FCE4:D03A:0138:6BFF:AB62",""
"moulticast-uk-ipv4","Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in UK | Operated by @herver (Github) | https://moulticast.net/dnscrypt/","France","+48.8582, +2.3387","1","yes","yes","51.195.200.182:443","2.dnscrypt-cert.moulticast-uk","E745:7B83:8BAD:1FE4:08A0:BEF2:8986:B399:B2E6:AC48:C818:2495:D599:A125:2662:F08D",""
"pwoss.org-dnscrypt","No filter | No logs | DNSSEC | Nuremberg, Germany (netcup) | Maintained by https://pwoss.org/ (Dan)","Germany","+51.2993, +9.4910","1","yes","yes","45.142.176.170:4434","2.dnscrypt-cert.pwoss.org","645F:054E:4B85:545C:3A60:FE71:F327:5E6E:74DB:F0E3:4FED:38BA:3F42:B544:4CA1:5078",""
"soltysiak","Public DNSCrypt server in Poland","Poland","+52.6222, +16.4539","1","yes","yes","178.216.201.222:2053","2.dnscrypt-cert.soltysiak.com","25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21",""
"v.dnscrypt.uk-ipv4","DNSCrypt v2, no logs, uncensored, DNSSEC. Hosted in London UK on Vultr https://www.dnscrypt.uk","United Kingdom","+51.5164, -0.0930","1","yes","yes","104.238.186.192:443","2.dnscrypt-cert.v.dnscrypt.uk","ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5",""
